,jobTitles,seniority,workLanguage,angličtina,česky,location,remoteAdj,salAvg,category,mainProgLangAdj
69,.NET SW Development Team Leader ,Senior,česky,False,True,Hybrid  +1 • Plzen  ,Hybrid or no remote,90000.0,Backend, net
70,Java Engineer ,Mid Advanced,česky,False,True," Praha, Želetavská 1525/1  (Po pandemi) • Praha , Želetavská 1525/1 ",Hybrid or no remote,183750.0,Backend, java
71,Python Developer ,Mid,česky,False,True," Praha, Brno  (Po pandemi) • Praha , Drtinova 10• Brno , Cyrilská 7 ",Hybrid or no remote,47500.0,Backend, python
72,Java Developer ,Junior,"česky, angličtina",True,True," Praha, nám. I. P. Pavlova 3  (Po pandemi) • Praha , nám. I. P. Pavlova 3 ",Hybrid or no remote,60000.0,Backend, java
73,PHP Developer (Praha/Brno/Liberec) ,Mid Advanced,česky,False,True," Hybrid  +3 • Brno , Cyrilská 7• Praha , Drtinova 10• Liberec  ",Hybrid or no remote,67500.0,Backend, php
74,Java Developer ,Mid,"česky, angličtina",True,True," Hybrid  +1 • Praha , Rohanské nábřeží 19 ",Hybrid or no remote,87400.0,Backend, java
76,Java Developer ,Mid Advanced,česky,False,True,Hybrid  +1 • Praha  ,Hybrid or no remote,170000.0,Backend, java
77,.NET Developer ,Mid,česky,False,True,Hybrid  +1 • Praha  ,Hybrid or no remote,210000.0,Backend, net
78,Remote Senior PHP Developer ,Senior,česky,False,True,Prague • Remote • Prague  ,Remote,59000.0,Backend, php
80,Senior Python Engineer ,Senior,"česky, angličtina",True,True," Hybrid  +1 • Praha , Křižíkova 148/34 ",Hybrid or no remote,90000.0,Backend, python
81,Senior Rust Developer ,Senior,"česky, angličtina",True,True," Praha 8 - Karlín, Krizikova 148/34 • Remote • Praha 8 - Karlín , Krizikova 148/34 ",Remote,105000.0,Backend,other
82,Python Developer ,Mid Advanced,"česky, angličtina",True,True,Brno • Remote • Brno  ,Remote,136500.0,Backend, python
83,.NET Developer ,Mid,"česky, angličtina",True,True," Brno, Vlněna • Remote • Brno , Vlněna ",Remote,131250.0,Backend, net
84,PHP Developer ,Mid Advanced,česky,False,True,Prague • Prague  ,Hybrid or no remote,80000.0,Backend, php
86,Senior Backend Developer ,Senior,česky,False,True," Hybrid  +1 • Praha , Václavské náměstí 2132/47 40% on-site, 60% remotely  ",Hybrid or no remote,80000.0,Backend, node
87,Node.js Developer ,Mid,česky,False,True,Hybrid  +3 • Olomouc • Přerov • Praha  ,Hybrid or no remote,87500.0,Backend,other
88,PHP Developer ,Mid,česky,False,True,Hybrid  +3 • Olomouc • Přerov • Praha  ,Hybrid or no remote,87500.0,Backend, php
89,Node.js Backend Developer ,Mid,česky,False,True," Prague, Altajská 1568/4  (Po pandemi) • Prague , Altajská 1568/4 ",Hybrid or no remote,78750.0,Backend,other
90,Node.js Developer ,Mid Advanced,česky,False,True," Praha, Holešovice  (Po pandemi) • Praha , Holešovice ",Hybrid or no remote,80000.0,Backend, node
91,PHP Developer ,Mid,česky,False,True," Prague, Holešovice  (Po pandemi) • Prague , Holešovice ",Hybrid or no remote,70000.0,Backend, php
92,Ruby on rails Developer ,Mid,angličtina,True,False,Hybrid  +1 • Prague  ,Hybrid or no remote,95000.0,Backend,other
93,PHP Developer/ka ,Mid Advanced,"česky, angličtina",True,True,Hybrid  +1 • Praha  ,Hybrid or no remote,65000.0,Backend, php
