,jobTitles,company,salaryRange,Bonus,category+progLang,seniority,workLanguage,location,remote
89, Node.js Backend Developer , Sourcein , 52.5k  - 105k  CZK ,,"Backend, Node.js", Mid ,Work language:česky," Prague, Altajská 1568/4  (Po pandemi) • Prague , Altajská 1568/4 ", Covid-time na dálku 
90, Node.js Developer , Coding Bear , 60k  - 100k  CZK ,,"Backend, node"," Mid, Senior ",Work language:česky," Praha, Holešovice  (Po pandemi) • Praha , Holešovice ", Covid-time na dálku 
91, PHP Developer , Coding Bear , 60k  - 80k  CZK ,,"Backend, php", Mid ,Work language:česky," Prague, Holešovice  (Po pandemi) • Prague , Holešovice ", Covid-time na dálku 
92, Ruby on rails Developer , Limestone Digital , 80k  - 110k  CZK ,20k CZK,"Backend, ruby on rails", Mid ,Work language:angličtina, Hybrid  +1 • Prague  ,
93, PHP Developer/ka , Movisio s.r.o. , 50k  - 80k  CZK ,,"Backend, php"," Mid, Senior ","Work language:česky, angličtina", Hybrid  +1 • Praha  ,
94, Full Stack Developer , Converting Ads s.r.o. , 80k  - 140k  CZK ,,"Backend, java"," Senior, Expert ","Work language:česky, angličtina"," Hybrid  +1 • Praha , Donská 1554/12 ",
95, Senior Java Developer (Big Data) , SentinelOne , 100k  - 200k  CZK ,,"Backend, java"," Mid, Senior ",Work language:angličtina," Prague, Brno • Remote • Prague , Karolinská 654/2• Brno , Holandská 2 ", Na dálku 
96, PHP Developer - SaaS Railway Platform , RAILVIS , 75k  - 120k  CZK ,,"Backend, php"," Mid, Senior ","Work language:angličtina, česky"," Hybrid  +1 • Prague , Belehradska 381 ",
97, Python Developer , Zoral , 75.2k  - 125.4k  CZK ,,"Backend, python"," Mid, Senior ","Work language:angličtina, ukrajinsky",, Na dálku 
98, Remote Java Developer , EMNT - Solutions , 184.3k  - 237k  CZK ,,"Backend, java", Senior ,Work language:angličtina,, Na dálku 
99, Senior PHP Developer , PowerPlay Studio , 87.7k  - 100.3k  CZK ,,"Backend, php"," Senior, Expert ",Work language:slovensky, Hybrid  +1 • Bratislava  ,
100, Senior .NET Agent developer for security , Dynatrace , 85.2k  - 127.9k  CZK ,,"Backend, .net"," Mid, Senior ","Work language:polsky, angličtina"," Hybrid  +1 • Gdańsk , Grunwaldzka 411 ",
101, Software Engineer (Java) , Dynatrace , 63.9k  - 127.9k  CZK ,,"Backend, java"," Mid, Senior ","Work language:polsky, angličtina"," Gdańsk, Grunwaldzka 411  (Po pandemi) • Gdańsk , Grunwaldzka 411 ", Covid-time na dálku 
102," Software Engineer (C++, Mid+) ", OptiNav Sp. z o. o. , 42.6k  - 79.9k  CZK ,,"Backend, c++", Mid ,Work language:angličtina," Hybrid  +5 • Gdynia , aleja Zwycięstwa 96/98• Słupsk , ul. Grunwaldzka 10• Gdańsk • Sopot • Lębork  ",
103, Remote Java Engineer (relocation to PL) , SoftServe , 90.6k  - 127.3k  CZK ,,"Backend, java", Senior ,Work language:angličtina," Wrocław, Kraków, Warszawa  +5 • Remote • Wrocław • Kraków • Warszawa • Gdańsk • Gliwice • Łódź • Katowice • Białystok  ", Na dálku 
104, Rust Developer , Polytech Software , 59.6k  - 119.3k  CZK ,,"Backend, Rust", Mid ,"Work language:angličtina, ukrajinsky",, Na dálku 
105, Java Team Lead , Carmoola , 143.2k  - 214.8k  CZK ,,"Backend, java", Expert ,Work language:angličtina, Warszawa • Remote • Warszawa  , Na dálku 
106, Java Backend Developer  [Zdalnie] , Exorigo-Upos , 53.3k  - 106.6k  CZK ,,"Backend, java", Mid ,Work language:angličtina," Warszawa, Białystok, Kielce  +2 • Remote • Warszawa • Białystok • Kielce • Katowice • Karaków  ", Na dálku 
107, Remote Magento 2 Developer /Mid/Senior/ , Exorigo-Upos , 79.9k  - 159.9k  CZK ,,"Backend, php"," Senior, Expert ",Work language:polsky," Warszawa, Skierniewicka 10A • Remote • Warszawa , Skierniewicka 10A ", Na dálku 
108, Mid/Senior Java Backend Engineer , Syncron Sp. z o.o. , 70.8k  - 124.2k  CZK ,,"Backend, java"," Mid, Senior ","Work language:angličtina, polsky"," Warszawa, ul. Twarda 4 • Remote • Warszawa , ul. Twarda 4 ", Na dálku 
109, Ruby on rails Developer , JetThoughts , 62.5k  - 101.6k  CZK ,,"Backend, ruby on rails"," Mid, Senior ","Work language:ukrajinsky, angličtina",, Na dálku 
110, Senior Python Lead , Link Group , 122.6k  - 133.2k  CZK ,,"Backend, python", Senior ,"Work language:polsky, angličtina"," Warszawa, Kraków, Wrocław  +2 • Remote • Warszawa • Kraków • Wrocław • Gdańsk • Łódź  ", Na dálku 
111, Senior Node.js Developer , Forbytes , 95.4k  - 131.2k  CZK ,,"Backend, javascript", Senior ,"Work language:ukrajinsky, angličtina",, Na dálku 
112, Remote Java Engineer , WithSecure (formerly F-Secure) , 77.2k  - 111.9k  CZK ,,"Backend, java"," Mid, Senior ",Work language:angličtina," Poznań, Warszawa • Remote • Poznań , Rataje 164• Warszawa , Chmielna 73 ", Na dálku 
113, (Senior) Software Developer , ROTH + WEBER GmbH , 104.5k  - 167.2k  CZK ,,"Backend, python", Senior ,"Work language:angličtina, německy", Hybrid  +1 • Niederdreisbach  ,
114, Senior Back-end Engineer (PHP) , Kilo Health , 100.3k  - 175.5k  CZK ,,"Backend, php", Senior ,Work language:angličtina," Vilnus, Kaunas, Klaipėda  +1 • Remote • Vilnus • Kaunas • Klaipėda • Berlin  ", Na dálku 
115, Remote Mid Golang Backend Developer , FutureHome , 63.9k  - 127.9k  CZK ,,"Backend, Golang", Mid ,"Work language:angličtina, polsky"," Kraków, Armii Krajowej 18 • Remote • Kraków , Armii Krajowej 18 ", Na dálku 
116, Senior Node.js Developer , Onix-Systems , 118k  - 164.9k  CZK ,,"Backend, node", Senior ,Work language:ukrajinsky," Кропивницький, вулиця Тараса Карпи, 76 • Remote • Кропивницький , вулиця Тараса Карпи, 76 ", Na dálku 
117, Node Developer , Kapsys GmbH , 68k  - 125.1k  CZK ,,"Backend, node", Mid ,Work language:ukrajinsky,, Na dálku 
118, Regular|Senior Programista Java -Zdalnie , Exorigo-Upos , 58.6k  - 117.2k  CZK ,,"Backend, java"," Mid, Senior ",Work language:polsky,, Na dálku 
119, .NET Developer , hubQuest , 106.6k  - 133.2k  CZK ,,"Backend, .net", Mid ,"Work language:angličtina, polsky"," Warsaw, Mokotowska 1 • Remote • Warsaw , Mokotowska 1 ", Na dálku 
120, C# Developer , Hitachi ABB Power Grids , 47.9k  - 95.9k  CZK ,,"Backend, .net", Mid ,"Work language:angličtina, polsky"," Kraków, Pawia 7  (Po pandemi) • Kraków , Pawia 7 ", Covid-time na dálku 
121, Senior Python Backend Engineer , sportradar , 160.2k  - 200.4k  CZK ,,"Backend, python", Senior ,Work language:angličtina,, Na dálku 
122, Backend Engineer (ML Infrastructure) , FLYR Poland sp. z o.o.  , 90.6k  - 127.9k  CZK ,,"Backend, python", Senior ,"Work language:angličtina, polsky"," Hybrid  +1 • Kraków , Dekerta 24 ",
123, Java AWS Engineer , Grape Up , 85.2k  - 117.8k  CZK ,,"Backend, java"," Mid, Senior ","Work language:angličtina, polsky"," Kraków, Białystok, Wrocław  +2 • Remote • Kraków , ul. Żółkiewskiego 17A• Białystok , ul. Mikołaja Kopernika 95a• Wrocław , Fabryczna 6• Poznań • Gdańsk  ", Na dálku 
124, Senior Java Software Engineer (Zeropark) , Codewise , 98k  - 134.8k  CZK ,,"Backend, java"," Senior, Expert ","Work language:polsky, angličtina"," Kraków, Lubicz 17G • Remote • Kraków , Lubicz 17G ", Na dálku 
125, Senior PHP Engineer , impltech GmbH , 107.4k  - 143.2k  CZK ,,"Backend, php", Senior ,Work language:angličtina,, Na dálku 
126, Senior .NET Core Developer , CSHARK Sp. z o.o. , 98.6k  - 119.9k  CZK ,,"Backend, .net", Senior ,Work language:polsky," Wrocław, Katowice  +1 • Remote • Wrocław , Rynek 36/37• Katowice , Żeliwna 38, 1B• Bielsko - Biała , Mickiewicza 3/8 ", Na dálku 
127, C# developer , Hitachi ABB Power Grids , 47.9k  - 85.2k  CZK ,,"Backend, .net", Mid ,Work language:angličtina," Kraków, Pawia 7  (Po pandemi) • Kraków , Pawia 7 ", Covid-time na dálku 
128, Senior .NET Engineer , Axon , 95.4k  - 119.3k  CZK ,,"Backend, .net", Senior ,"Work language:ukrajinsky, angličtina"," Kyiv, Kharkivs'ke Hwy, 175 • Remote • Kyiv , Kharkivs'ke Hwy, 175 ", Na dálku 
129, Golang Developer , Link Group , 117.2k  - 159.9k  CZK ,,"Backend, Golang"," Mid, Senior ","Work language:angličtina, polsky"," Warsaw, Kraków, Gdańsk  +1 • Remote • Warsaw • Kraków • Gdańsk • Wrocław  ", Na dálku 
130, Mid/ Senior Software Engineer (Scala) , GetInData , 89.5k  - 179k  CZK ,,"Backend, scala"," Mid, Senior ",Work language:angličtina," Warsaw, ul. Puławska 39/20 • Remote • Warsaw , ul. Puławska 39/20 ", Na dálku 
131, Mid/ Senior Software Engineer (Python) , GetInData , 89.5k  - 179k  CZK ,,"Backend, python"," Mid, Senior ",Work language:angličtina," Warsaw, ul. Puławska 39/20 • Remote • Warsaw , ul. Puławska 39/20 ", Na dálku 
132, C++ Developer , AVENGA , 102.9k  - 111.8k  CZK ,,"Backend, c++", Mid ,"Work language:angličtina, polsky",, Na dálku 
133, Senior Backend Engineer (Golang) , GetInData , 107.3k  - 161.1k  CZK ,,"Backend, Golang", Senior ,"Work language:polsky, angličtina"," Warsaw, ul. Puławska 39/20 • Remote • Warsaw , ul. Puławska 39/20 ", Na dálku 
134, Node.js Developer , LEOCODE , 93.8k  - 127.9k  CZK ,,"Backend, node", Mid ,"Work language:angličtina, polsky"," Katowice, Gdynia • Remote • Katowice , Porcelanowa 23• Gdynia , Plac Grunwaldzki 16/10 ", Na dálku 
135, Java Software Engineer , Adyen , 156.7k  - 282.2k  CZK ,,"Backend, java"," Senior, Expert ",Work language:angličtina, Hybrid  +1 • Amsterdam  ,
